starttime	seconds	ctime	dtime	ttime	wait
Fri Jun 03 17:16:05 2016	1464995765	5	2	6	2
Fri Jun 03 17:16:05 2016	1464995765	5	3	7	2
Fri Jun 03 17:16:05 2016	1464995765	5	3	7	3
Fri Jun 03 17:16:05 2016	1464995765	6	2	8	2
Fri Jun 03 17:16:05 2016	1464995765	6	2	8	1
Fri Jun 03 17:16:05 2016	1464995765	7	2	8	2
Fri Jun 03 17:16:05 2016	1464995765	6	2	8	1
Fri Jun 03 17:16:05 2016	1464995765	7	1	9	1
Fri Jun 03 17:16:05 2016	1464995765	7	2	9	1
Fri Jun 03 17:16:05 2016	1464995765	8	1	9	1
Fri Jun 03 17:16:05 2016	1464995765	8	1	9	1
Fri Jun 03 17:16:05 2016	1464995765	8	2	9	2
Fri Jun 03 17:16:05 2016	1464995765	8	2	10	1
Fri Jun 03 17:16:05 2016	1464995765	7	3	10	3
Fri Jun 03 17:16:05 2016	1464995765	9	1	10	1
Fri Jun 03 17:16:05 2016	1464995765	9	2	10	0
Fri Jun 03 17:16:05 2016	1464995765	8	2	10	1
Fri Jun 03 17:16:05 2016	1464995765	9	1	10	1
Fri Jun 03 17:16:05 2016	1464995765	8	2	10	2
Fri Jun 03 17:16:05 2016	1464995765	8	2	11	2
Fri Jun 03 17:16:05 2016	1464995765	9	2	11	1
Fri Jun 03 17:16:05 2016	1464995765	10	1	11	1
Fri Jun 03 17:16:05 2016	1464995765	10	1	11	1
Fri Jun 03 17:16:05 2016	1464995765	8	3	11	3
Fri Jun 03 17:16:05 2016	1464995765	8	3	11	3
Fri Jun 03 17:16:05 2016	1464995765	6	5	11	4
Fri Jun 03 17:16:05 2016	1464995765	9	2	11	1
Fri Jun 03 17:16:05 2016	1464995765	9	2	11	1
Fri Jun 03 17:16:05 2016	1464995765	10	2	11	1
Fri Jun 03 17:16:05 2016	1464995765	7	4	11	3
Fri Jun 03 17:16:05 2016	1464995765	10	2	11	2
Fri Jun 03 17:16:05 2016	1464995765	10	2	12	1
Fri Jun 03 17:16:05 2016	1464995765	11	1	12	1
Fri Jun 03 17:16:05 2016	1464995765	10	2	12	1
Fri Jun 03 17:16:05 2016	1464995765	11	2	12	1
Fri Jun 03 17:16:05 2016	1464995765	10	2	12	1
Fri Jun 03 17:16:05 2016	1464995765	11	2	12	1
Fri Jun 03 17:16:05 2016	1464995765	11	2	12	1
Fri Jun 03 17:16:05 2016	1464995765	11	1	12	1
Fri Jun 03 17:16:05 2016	1464995765	10	2	12	1
Fri Jun 03 17:16:05 2016	1464995765	11	1	12	1
Fri Jun 03 17:16:05 2016	1464995765	11	2	12	2
Fri Jun 03 17:16:05 2016	1464995765	11	1	12	1
Fri Jun 03 17:16:05 2016	1464995765	10	2	12	1
Fri Jun 03 17:16:05 2016	1464995765	11	1	12	1
Fri Jun 03 17:16:05 2016	1464995765	11	2	12	2
Fri Jun 03 17:16:05 2016	1464995765	11	1	12	1
Fri Jun 03 17:16:05 2016	1464995765	11	2	12	0
Fri Jun 03 17:16:05 2016	1464995765	11	2	12	1
Fri Jun 03 17:16:05 2016	1464995765	12	1	12	1
Fri Jun 03 17:16:05 2016	1464995765	11	2	13	2
Fri Jun 03 17:16:05 2016	1464995765	11	2	13	1
