starttime	seconds	ctime	dtime	ttime	wait
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	2	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	3	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	3	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	3	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	3	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	3	0
Fri Jun 03 17:18:04 2016	1464995884	3	0	3	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	3	0
Fri Jun 03 17:18:04 2016	1464995884	2	0	3	0
Fri Jun 03 17:18:04 2016	1464995884	2	1	3	0
Fri Jun 03 17:18:04 2016	1464995884	3	0	3	0
Fri Jun 03 17:18:04 2016	1464995884	3	0	4	0
Fri Jun 03 17:18:04 2016	1464995884	4	0	4	0
Fri Jun 03 17:18:04 2016	1464995884	4	1	5	1
Fri Jun 03 17:18:04 2016	1464995884	4	1	5	1
Fri Jun 03 17:18:04 2016	1464995884	5	2	7	1
Fri Jun 03 17:18:04 2016	1464995884	5	2	7	2
Fri Jun 03 17:18:04 2016	1464995884	7	0	7	0
Fri Jun 03 17:18:04 2016	1464995884	6	2	8	2
Fri Jun 03 17:18:04 2016	1464995884	7	1	8	1
Fri Jun 03 17:18:04 2016	1464995884	7	2	8	2
Fri Jun 03 17:18:04 2016	1464995884	7	2	9	1
Fri Jun 03 17:18:04 2016	1464995884	7	2	9	1
Fri Jun 03 17:18:04 2016	1464995884	7	1	9	1
Fri Jun 03 17:18:04 2016	1464995884	8	1	9	1
Fri Jun 03 17:18:04 2016	1464995884	8	1	9	0
Fri Jun 03 17:18:04 2016	1464995884	7	2	9	1
Fri Jun 03 17:18:04 2016	1464995884	8	1	9	0
Fri Jun 03 17:18:04 2016	1464995884	8	1	10	1
Fri Jun 03 17:18:04 2016	1464995884	8	2	10	1
Fri Jun 03 17:18:04 2016	1464995884	8	2	10	1
Fri Jun 03 17:18:04 2016	1464995884	8	2	10	2
Fri Jun 03 17:18:04 2016	1464995884	8	2	10	1
Fri Jun 03 17:18:04 2016	1464995884	9	1	10	1
Fri Jun 03 17:18:04 2016	1464995884	9	1	10	1
Fri Jun 03 17:18:04 2016	1464995884	9	2	10	1
Fri Jun 03 17:18:04 2016	1464995884	9	2	10	1
Fri Jun 03 17:18:04 2016	1464995884	8	2	10	0
Fri Jun 03 17:18:04 2016	1464995884	9	2	10	1
Fri Jun 03 17:18:04 2016	1464995884	8	2	11	2
Fri Jun 03 17:18:04 2016	1464995884	9	2	11	1
Fri Jun 03 17:18:04 2016	1464995884	9	1	11	1
Fri Jun 03 17:18:04 2016	1464995884	9	2	11	1
Fri Jun 03 17:18:04 2016	1464995884	9	2	11	1
Fri Jun 03 17:18:04 2016	1464995884	9	2	11	1
Fri Jun 03 17:18:04 2016	1464995884	9	2	11	1
Fri Jun 03 17:18:04 2016	1464995884	8	3	11	1
Fri Jun 03 17:18:04 2016	1464995884	9	2	11	1
Fri Jun 03 17:18:04 2016	1464995884	9	2	11	1
Fri Jun 03 17:18:04 2016	1464995884	10	1	11	0
Fri Jun 03 17:18:04 2016	1464995884	10	1	11	1
Fri Jun 03 17:18:04 2016	1464995884	9	2	11	1
Fri Jun 03 17:18:04 2016	1464995884	10	2	11	1
Fri Jun 03 17:18:04 2016	1464995884	10	1	11	1
Fri Jun 03 17:18:04 2016	1464995884	10	2	11	1
Fri Jun 03 17:18:04 2016	1464995884	10	1	11	1
Fri Jun 03 17:18:04 2016	1464995884	10	2	11	1
Fri Jun 03 17:18:04 2016	1464995884	10	1	11	1
Fri Jun 03 17:18:04 2016	1464995884	10	1	11	1
Fri Jun 03 17:18:04 2016	1464995884	10	2	11	1
Fri Jun 03 17:18:04 2016	1464995884	10	1	11	1
Fri Jun 03 17:18:04 2016	1464995884	9	2	11	1
Fri Jun 03 17:18:04 2016	1464995884	9	2	11	2
Fri Jun 03 17:18:04 2016	1464995884	10	2	11	1
Fri Jun 03 17:18:04 2016	1464995884	10	1	11	1
Fri Jun 03 17:18:04 2016	1464995884	10	2	12	1
Fri Jun 03 17:18:04 2016	1464995884	10	2	12	2
Fri Jun 03 17:18:04 2016	1464995884	10	1	12	1
Fri Jun 03 17:18:04 2016	1464995884	9	2	12	2
Fri Jun 03 17:18:04 2016	1464995884	10	1	12	1
Fri Jun 03 17:18:04 2016	1464995884	10	2	12	1
Fri Jun 03 17:18:04 2016	1464995884	10	1	12	1
Fri Jun 03 17:18:04 2016	1464995884	10	2	12	2
Fri Jun 03 17:18:04 2016	1464995884	10	3	12	2
Fri Jun 03 17:18:04 2016	1464995884	12	0	12	0
Fri Jun 03 17:18:04 2016	1464995884	11	2	12	2
Fri Jun 03 17:18:04 2016	1464995884	11	1	12	1
Fri Jun 03 17:18:04 2016	1464995884	11	1	12	1
Fri Jun 03 17:18:04 2016	1464995884	9	3	12	1
Fri Jun 03 17:18:04 2016	1464995884	11	2	12	1
Fri Jun 03 17:18:04 2016	1464995884	11	1	12	1
Fri Jun 03 17:18:04 2016	1464995884	11	2	12	1
Fri Jun 03 17:18:04 2016	1464995884	11	2	12	2
Fri Jun 03 17:18:04 2016	1464995884	11	1	12	1
Fri Jun 03 17:18:04 2016	1464995884	8	4	12	3
Fri Jun 03 17:18:04 2016	1464995884	11	1	12	1
Fri Jun 03 17:18:04 2016	1464995884	11	1	12	1
Fri Jun 03 17:18:04 2016	1464995884	11	1	12	1
Fri Jun 03 17:18:04 2016	1464995884	8	4	12	3
Fri Jun 03 17:18:04 2016	1464995884	9	3	12	3
Fri Jun 03 17:18:04 2016	1464995884	10	2	12	2
Fri Jun 03 17:18:04 2016	1464995884	12	0	13	0
Fri Jun 03 17:18:04 2016	1464995884	12	1	13	1
Fri Jun 03 17:18:04 2016	1464995884	10	3	13	3
Fri Jun 03 17:18:04 2016	1464995884	9	4	13	3
Fri Jun 03 17:18:04 2016	1464995884	11	3	13	1
Fri Jun 03 17:18:04 2016	1464995884	12	1	13	1
Fri Jun 03 17:18:04 2016	1464995884	11	2	13	1
Fri Jun 03 17:18:04 2016	1464995884	10	3	13	2
Fri Jun 03 17:18:04 2016	1464995884	12	1	13	1
